"","ctryname","aclpcode","cowcode","cowcode2","ccdcodelet","ccdcodenum","wdicode","imf_code","politycode","bankscode","dpicode","uncode","un_region","un_region_name","un_continent","un_continent_name","aclp_region","ccode"
"7550","St. Lucia",174,56,56,"LCA",102,"LCA",362,56,NA,"LCA",662,29,"Caribbean",19,"Americas",8,56
"7580","St. Vincent and the Grenadines",180,57,57,"VCT",184,"VCT",364,57,1065,"VCT",670,29,"Caribbean",19,"Americas",8,57
"7610","Sudan",40,625,625,"SDN",150,"SDN",732,625,1070,"SDN",736,15,"Northern Africa",2,"Africa",1,625
"7663","Suriname",75,115,115,"SUR",159,"SUR",366,115,1075,"SUR",740,5,"South America",19,"Americas",8,115
"7697","Swaziland",41,572,572,"SWZ",164,"SWZ",734,572,1080,"SWZ",748,18,"Southern Africa",2,"Africa",1,572
"7738","Sweden",123,380,380,"SWE",163,"SWE",144,380,1092,"SWE",752,154,"Northern Europe",150,"Europe",10,380
"7801","Switzerland",124,225,225,"CHE",31,"CHE",146,225,1100,"CHE",756,155,"Western Europe",150,"Europe",10,225
"7864","Syria",97,652,652,"SYR",166,"SYR",463,652,1110,"SYR",760,145,"Western Asia",142,"Asia",6,652
"7927","Taiwan",98,713,713,"TAW",167,"",528,713,231,"TWN",NA,NA,"Eastern Asia",142,"Asia",3,713
"7987","Tajikistan",181,702,702,"TJK",171,"TJK",923,702,1115,"TJK",762,143,"Central Asia",142,"Asia",9,702
"8005","Tanzania",42,510,510,"TZA",178,"TZA",738,510,1120,"TZA",834,14,"Eastern Africa",2,"Africa",1,510
"8053","Thailand",99,800,800,"THA",170,"THA",578,800,1130,"THA",764,35,"South-Eastern Asia",142,"Asia",4,800
"8116","Togo",43,461,461,"TGO",169,"TGO",742,461,1140,"TGO",768,11,"Western Africa",2,"Africa",1,461
"8165","Tonga",184,955,955,"TON",173,"TON",866,955,1215,"TON",776,61,"Polynesia",9,"Oceania",5,955
"8204","Trinidad and Tobago",64,52,52,"TTO",174,"TTO",369,52,1150,"TTO",780,29,"Caribbean",19,"Americas",8,52
"8251","Tunisia",44,616,616,"TUN",175,"TUN",744,616,1160,"TUN",788,15,"Northern Africa",2,"Africa",6,616
"8304","Turkey",125,640,640,"TUR",176,"TUR",186,640,1170,"TUR",792,145,"Western Asia",142,"Asia",6,640
"8367","Turkmenistan",182,701,701,"TKM",172,"TKM",925,701,1172,"TKM",795,143,"Central Asia",142,"Asia",9,701
"8385","Tuvalu",947,NA,947,"TVA",177,"",NA,NA,NA,"",NA,NA,"Polynesia",NA,"Oceania",NA,NA
"8407","Tuvalu",947,947,947,"TVA",177,"",NA,947,NA,"",798,61,"Polynesia",9,"Oceania",NA,947
"8416","U.S.S.R.",127,365,365,"SVU",162,"RUS",922,364,1190,"SUN",643,151,"Eastern Europe",150,"Europe",9,365
"8461","Uganda",45,500,500,"UGA",179,"UGA",746,500,1180,"UGA",800,14,"Eastern Africa",2,"Africa",1,500
"8508","Ukraine",183,369,369,"UKR",180,"UKR",926,369,1183,"UKR",804,151,"Eastern Europe",150,"Europe",9,369
"8526","United Arab Emirates",141,696,696,"ARE",4,"ARE",466,696,NA,"ARE",784,145,"Western Asia",142,"Asia",11,696
"8564","United Kingdom",126,200,200,"GBR",63,"GBR",112,200,1210,"GBR",826,154,"Northern Europe",150,"Europe",10,200
"8627","United States of America",65,2,2,"USA",182,"USA",111,2,1220,"USA",840,21,"Northern America",19,"Americas",10,2
"8690","Uruguay",76,165,165,"URY",181,"URY",298,165,1240,"URY",858,5,"South America",19,"Americas",7,165
"8753","Uzbekistan",185,704,704,"UZB",183,"UZB",927,704,1241,"UZB",860,143,"Central Asia",142,"Asia",9,704
"8771","Vanuatu",134,935,935,"VUT",189,"VUT",846,935,1243,"VUT",548,54,"Melanesia",9,"Oceania",5,935
"8800","Venezuela",77,101,101,"VEN",185,"VEN",299,101,1250,"VEN",862,5,"South America",19,"Americas",7,101
"8863","Viet Nam",186,816,818,"VNM",186,"VNM",582,818,1262,"VNM",704,35,"South-Eastern Asia",142,"Asia",4,816
"8896","Yemen",190,679,679,"YEM",191,"YEM",474,679,1280,"YEM",887,145,"Western Asia",142,"Asia",6,679
"8915","Yemen Arab Republic",100,678,678,"YNO",192,"YEM",474,678,1280,"YAR",887,145,"Western Asia",142,"Asia",6,678
"8959","Yemen PDR (South)",178,680,680,"YSO",193,"",NA,680,1050,"YMD",NA,145,"Western Asia",142,"Asia",6,680
"8982","Yugoslavia",128,345,345,"YUG",194,"YUG",965,345,1290,"YSR",NA,39,"Southern Europe",150,"Europe",9,345
"9027","Zambia",47,551,551,"ZMB",197,"ZMB",754,551,1300,"ZMB",894,14,"Eastern Africa",2,"Africa",1,551
"9072","Zimbabwe",48,552,552,"ZWE",198,"ZWE",698,552,1214,"ZWE",716,14,"Eastern Africa",2,"Africa",1,552
