country,countryn,year,f,ext_type,oth_exclusions,CAPNAME,CAPLONG,CAPLAT,cowcodes2,cowcode2,ccdcodelet,ccdcodenum,wdicode,imf_code,politycode,bankscode,dpicode,uncode,un_region,un_region_name,un_continent,un_continent_name,aclp_region,ccode
142,Afghanistan,1958,7,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1959,7,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1960,7,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1961,7,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1962,7,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1963,7,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1964,72,2,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1965,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1966,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1967,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1968,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1969,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1970,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1971,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1972,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1973,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1974,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1975,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1976,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1977,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
